movies_name	Descriptions
28) Indiana Jones And The Last Crusade	You voted... wisely. There may only be 12 years' difference between Harrison Ford and Sean Connery, but it's hard to imagine two better actors to play a bickering father and son, off on a globetrotting, Nazi-bashing, mythical mystery tour. After all, you've got Spielberg/Lucas' own version of James Bond... And the original Bond himself.
27) The Lord Of The Rings The Return Of The King	"Anyone who bangs on about all those endings is missing the many joys of Peter Jackson's Academy Award-laden trilogy-closer. It has some of the most colossal and entertaining battle scenes ever mounted; it has an awesome giant spider; it has that fantastic dramatic-ironic twist when Gollum saves the day through his own treachery; and it has that bit where Eowyn says, ""I am no man"". Deserves. Every. Oscar."
26) Die Hard	One man using only his wits and whatever he can extract from his environment. A gang of bad guys terrorising the locals. If Die Hard wasn't set in a skyscraper during the 1980s, it could easily be a Western. A Western which, in the form of Bruce Willis, not only convinced the world a TV-comedy star could be an action-hero, but also gave us one of our most seethingly charismatic big-screen villain-players: Alan Rickman.
25) Fight Club	"After all the pre-release hype about how dark and brutal Fight Club was, one of the most surprising things to discover on seeing it was just how funny it actually was. And just as well; if you weren't laughing at Bob's ""bitch-tits"" or Tyler Durden's human-fat soap-making antics, it would be pretty hard to process David Fincher's bravura take on Chuck Palahniuk's tale of modern masculinity running insanely rampant."
24) Terminator 2 Judgment Day	"Making Arnie's T-800 a protector rather than killer for part two could have been a shark-jump moment for the Terminator series, but we're talking about James Cameron here. So it paid off — especially as this Terminator was just as much a student in human behaviour (with John Connor his teacher) as guardian, with some darkly comical results (""He'll live""). Is it really better than the original? In terms of scale and sheer, balls-out action spectacle, yes."
23) 2001: A Space Odyssey	You've voted it your favourite Kubrick movie, which makes sense to us. It is arguably his greatest gift to cinema, an infinitely ambitious vision of a space-faring future whose narrative centres on the most pivotal moment in human evolution since some ape-man first bashed another ape-man with an old bone. Graceful, gorgeous, unwearied by time's passing. Rather like that monolith.
22) Avengers: Endgame	What does it take to dethrone James Cameron? A blockbuster of behemothic proportions. The weight of expectations on Endgame — the culmination of 11 years of interweaving stories, following up the greatest cinematic cliffhanger since The Empire Strikes Back — was immense, which only makes it more miraculous that the Russo Brothers (and writers Christopher Markus & Stephen McFeeley) delivered a thrilling, adventurous, emotional time-travelling trip through the entire MCU so far. The character pay-offs are just as staggering as the action — and when Steve Rogers finally proved worthy enough to lift Mjolnir, a stone-cold cultural moment was created.
21) Alien	On the one hand, re-watching Ridley Scott's deep-space monster-slasher (and it's a movie which can handle as many re-watches as you can throw at it) makes you appreciate why he keeps coming back to that universe: it's so intoxicatingly atmospheric and deeply compelling, it sticks to you like a parasite. On the other hand, it really does make you wonder why he feels the need to keep tinkering with new cuts. After all, he got it perfectly right the first time around.
20) The Matrix	How two sibling indie film-makers with only a slick, sexy little crime film to their name (Bound) created their own blockbuster sci-fi franchise. And opened up western audiences to the truth that kung-fu acrobatics are so much more fun than watching American or European muscle-men waving guns around. While also making everyone examine some fundamental philosophical questions about reality. Thanks to the Wachowskis, we all took the red pill, and we've never regretted it.
19) Inception	Will Christopher Nolan ever make a Bond movie? Well, with Inception he kind of already has. Except, instead of a British secret agent, we get a freelance corporate dream-thief. And the big climactic action sequence is so huge it takes up almost half the movie and is actually three big action sequences temporally nested inside each other around a surreal, metaphysical-conflict core.
18) Parasite	Few award ceremony moments stick in the mind more than Parasite taking the Best Picture gong at the Oscars in 2020. It's no surprise that it made history as the first non-English language movie to do so – this South Korean genre-defying delight offers some of the biggest twists and expertly mounted tension in recent memory, with a family of excellent performances from Song Kang-ho, Park So-dam, Choi Woo-shik and more. Bitingly satirical, darkly comedic and made with unmatched precision, Parasite doesn't just overcome the 'one inch barrier' of subtitles, as referenced in director Bong Joon-ho's acceptance speech – it obliterates it entirely.
17) Aliens	The genius of James Cameron's self-penned Alien follow-up was to not try to top the original as one of the greatest ever horror movies. Instead, he transplanted the Alien (and, significantly, Ripley) to a different genre, and created one of the greatest ever action movies. That's also a Vietnam metaphor. And also one of the most enduringly quotable films.
16) Blade Runner	Rain-lashed, noodle-bar-packed streets shrouded in perpetual night, with giant adverts and neon signs doing the job you'd usually expect of the sun itself... The not-too-distant future had never looked cooler than in Ridley Scott's sci-fi gumshoe noir, and we're not sure it ever will.
15) Jurassic Park	When dinosaurs first ruled the movie-Earth, they did so in a herky-jerky stop-motion manner that while charmingly effective, required a fair dose of disbelief-suspension. When Steven Spielberg brought them back on Isla Nublar, we felt for the first time they could be real, breathing animals (as opposed to monsters). And that's as much thanks to Stan Winston's astonishing animatronics work as to ILM's groundbreaking CGI.
14) The Godfather Part II	Often cited as the greatest-ever sequel, TGPII, as no-one's ever called it, is more accurately described as a seprequel. In a narrative masterstroke, it parallels Michael's (Al Pacino) consolidation of power with the ascendance of his Dad, Vito (Robert De Niro); the triumph of one paving the way to the utter corruption of the other.
13) Back To The Future	Part science-fiction caper, part generational culture-clash movie, part weirdo family drama (in which the hero has to rescue his own existence after his mother falls in lust with him, eww), Back To The Future still manages to be timeless despite being so rooted in, well, time. And it might just have the best title of anything on this entire list.
12) Mad Max: Fury Road	"In which old dog George Miller taught Hollywood some new tricks. Stripping the chase movie down to its raw essentials (the plot is basically: run away... then run back again!), Miller expertly built the narrative through some of the most astonishing and gloriously operatic action scenes we'd seen in yonks. While also ensuring his female characters are the film's strongest; Charlize Theron's Furiosa and Immortan Joe's ex-brides are inheriting a world ""killed"" by men...Read Empire's review of Mad Max: Fury Road"
11) Star Wars	George Lucas' cocktail of fantasy, sci-fi, Western and World War II movie remains as culturally pervasive as ever. It's so mythically potent, you sense in time it could become a bona-fide religion...
10) Goodfellas	"Where Coppola embroiled us in the politics of the Mafia elite, Martin Scorsese drew us into the treacherous but seductive world of the Mob's foot soldiers. And its honesty was as impactful as its sudden outbursts of (usually Joe Pesci-instigated) violence. Not merely via Henry Hill's (Ray Liotta) narrative, but also Karen's (Lorraine Bracco) perspective: when Henry gives her a gun to hide, she admits, ""It turned me on."""
9) Raiders Of The Lost Ark	In '81, it must have sounded like the ultimate pitch: the creator of Star Wars teams up with the director of Jaws to make a rip-roaring, Bond-style adventure starring the guy who played Han Solo, in which the bad guys are the evillest ever (the Nazis) and the MacGuffin is a big, gold box which unleashes the power of God. It still sounds like the ultimate pitch.
8) Avengers: Infinity War	It was the biggest crossover event in cinematic history, and the biggest cliffhanger we never saw coming. After ten years and eighteen movies, Marvel took superhero filmmaking to a new level when they united all of Earth's mightiest heroes (and several more) against The Mad Titan himself – and incredibly, devastatingly, they lost. Infinity War crashed much-loved characters into each other's orbits, flitting between planets at breakneck speed as the Avengers desperately tried to stop Thanos from clicking his fingers and wiping out half the universe. Spectacular action, punch-the-air moments and big-scale battles are perfectly balanced, as all things should be, with hilarious interplays and aching emotion. Cinema doesn't get much bigger, or better, than this.
7) Pulp Fiction	If Reservoir Dogs was a blood-spattered calling card, Pulp Fiction saw Quentin Tarantino kick our front door off its hinges — and then get applauded for doing it with such goddamn panache. It wore its numerous influences on its sleeve and yet felt utterly, invigoratingly fresh and new. We happy? Yeah, we happy.
6) Jaws	Forty-five years young, and Spielberg's breakthrough remains the touchstone for event-movie cinema. Not that any studio these days would dare put out a summer blockbuster that's half monster-on-the-rampage disaster, half guys-bonding-on-a-fishing-trip adventure. Maybe that's why it's never been rebooted. Or just because it's genuinely unsurpassable.
5) The Shawshank Redemption	The warm, leathery embrace of Morgan Freeman's narration... The reassuringly Gary Cooper-ish rumple of Tim Robbins' face... Odd that a movie which features such harshness and tragedy should remain a feel-good perennial — even odder when you consider it was a box-office flop on release. Few directorial debuts are so deftly constructed; no surprise, then, that Frank Darabont has yet to top it.
4) The Dark Knight	Easily as influential on the genre as that other summer '08 comic-book movie, Iron Man, Christopher Nolan's Batman Begins sequel works wonders because he never saw it as a superhero film. It's closer to a Michael Mann crime epic — except instead of Pacino and De Niro in a diner, you get a bloke dressed as a bat and a psychotic clown in a police interrogation room. With, er, Aaron Eckhart as Val Kilmer...
3) The Godfather	"Stanley Kubrick once described Francis Ford Coppola's adaptation of Mario Puzo's novel as the best film ever made – though having previously topped this list, this time it falls to bronze position. At once an art movie and a commercial blockbuster, The Godfather marked the dawn of the age of the mega-movie. An icon of the gangster genre, its imprinted in popular culture – ""Luca Brasi sleeps with the fishes"", the horse's head in the bed – but the first instalment of Brando's cotton-cheeked patriarch's fight for power is so much more than those moments. With performances, style and substance to savour, it's managed to both smash box office records and live on as a staple of cinematic canon."
2) Star Wars: The Empire Strikes Back	"The original ""this one's darker"" sequel, and by far the strongest of the saga. Not just because the baddies win (temporarily), or because it Force-slammed us with that twist (""No, I am your father""). Empire super-stardestroys thanks to the way it deepens the core relationships — none more effectively than Han and Leia's. She loves him. He knows. And it still hurts."
1) The Lord Of The Rings: The Fellowship Of The Ring	A wizard is never late. Nor is he early. He arrives precisely when he... well, you know the rest. It might have taken 20 years for Peter Jackson's plucky fantasy to clamber, Mount-Doom-style, to the very pinnacle of our greatest-movies pantheon. But here it is, brighter and more resplendent than ever.The Fellowship Of The Ring contains so much movie. Even at the halfway point, as the characters take a breather to bicker in Rivendell, you already feel sated, like you've experienced more thrills, more suspense, more jollity and ethereal beauty than a regular film could possibly muster up. But Jackson is only getting started. Onwards his adventure hustles, to the bravura dungeoneering of Khazad-dum, to the sinisterly serene glades of Lothlorien, to the final requiem for flawed Boromir amidst autumnal leaves. As Fellowship thrums to its conclusion, finally applying the brakes with a last swell of Howard Shore's heavenly score, you're left feeling euphoric, bereft and hopeful, all at the same time. The Two Towers has the coolest battle. The Return Of The King boasts the most batshit, operatic spectacle. But Fellowship remains the most perfect of the three, matching every genius action beat with a soul-stirring emotional one, as its Middle-earth-traversing gang swells in size in the first act, then dwindles in the third. This oddball suicide squad has so much warmth and wit, they're not just believable as friends of each other — they've come to feel like they're our pals too.An ornately detailed masterwork with a huge, pulsing heart, it's just the right film for our times — full of craft, conviction and a belief that trudging forward, step by step, in dark days is the bravest act of all. Its ultimate heroes aren't the strongest, or those with the best one-liners, but the ones who just keep going. And so Fellowship endures: a miracle of storytelling, a feat of filmmaking and still the gold standard for cinematic experiences. Right, now that's decided, who's up for second breakfast?
